17.03,Gauss,Mathieu,1993,"apprenti employé de commerce, coprésident des Jeunes Verts / Kaufmännischer Lernender, Co-Präsident Junge Grüne",,Lovens,726,
17.04,Begert,Lucien,1989,informaticien / Informatiker,,Fribourg/Freiburg,658,
17.05,Descombes,Claire,1995,"étudiante, bachelière Collège Saint-Michel / Studentin, Maturandin Kollegium St. Michael",,Givisiez,908,
17.06,Crestani,Camille,1994,étudiante en soins infirmiers / Studentin BSc Pflege,,Châtel-Saint-Denis,1'034,
17.07,Dervey,Ludmilla,1989,étudiante / Studentin,,Bulle,943,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,18,Grünliberale Unternehmer und grünliberale Junge,,,,,
Kürzel,,GL&JG,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,3'551,,,,,
Zusatzstimmen,,,113,,,,,
Parteistimmen,,,3'664,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
18.01,von Mühlenen,Walo,1962,"Betriebswirtschafter, Käse-Affineur / entrepreneur, affineur de fromages",,Villars-sur-Glâne,707,
18.03,Savary,Daniel,1969,"architecte ETS, administrateur / Architekt HTL, Verwalter",,Avry-devant-Pont,820,
18.05,Grandjean,Anaïs,1990,étudiante de master en communication / Master-Studentin in Kommunikation,,La Tour-de-Trême,807,
18.06,Grandjean,Loris,1993,étudiant en psychologie et sciences politiques / Student in Psychologie und Politikwissenschaften,,Bulle,647,
18.07,Ruffieux,Kurt,1961,ingénieur électricien ETS / Elektro-Ingenieur HTL,,Arconciel,570,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,19,Evangelische Volkspartei (EVP),,,,,
Kürzel,,EVP,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,4'134,,,,,
Zusatzstimmen,,,76,,,,,
Parteistimmen,,,4'210,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
19.01,Künzler,André,1958,employé de la Confédération / Bundesangestellter,,Riaz,582,
19.02,Grebasch,Simon,1978,"Pfarrer, Bauspengler / pasteur, ferblantier",,Mühledorf,798,
19.03,von Lerber,Annette,1969,"Betriebsökonomin HF, Unternehmerin / économiste, entrepreneuse",,Fribourg/Freiburg,587,
19.04,Herren,Ulrich,1958,Informatikprojektleiter / chef de projet informatique,,Lurtigen,626,
19.05,Hausmann,David,1977,pasteur / Pfarrer,,La Tour-de-Trême,588,
19.06,Stefanov,Konstantin,1967,Theologe / théologien,,Galmiz,504,
19.07,Kocher,Keran,1996,étudiant au gymnase / Gymnasiast,,Vaulruz,449,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,20,JungsozialistInnen Freiburg,,,,,
Kürzel,,JSF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,9'695,,,,,
Zusatzstimmen,,,171,,,,,
Parteistimmen,,,9'866,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
20.01,Kubski,Grégoire,1991,"étudiant en droit, spécialiste au Secrétariat d'Etat aux migrations / Student in Rechtswissenschaft, Spezialist beim Staatssekretariat für Migration",,Morlon,1'964,
20.02,Piller,Elsa,1989,apprentie employée de commerce / Kaufmännische Lernende,,Rueyres-Saint-Laurent,1'324,
20.03,Zurich,Simon,1990,"collaborateur parlementaire, conseiller aux patients / Parlamentarischer Mitarbeiter, Patientenberater",,Fribourg/Freiburg,1'364,
20.04,de Jesus Correia,Mélanie,1996,étudiante / Studentin,,Lully,1'011,
20.05,Fasel,Noah,1997,Gymnasiast / collégien,,St. Ursen,1'398,
20.06,Stirnimann,Michelle,1992,Studentin in Geografie / étudiante en géographie,,Kerzers,902,
20.07,Loup,Matthieu,1991,"étudiant en droit, vice-président ASLOCA FR / Student in Rechtswissenschaft, Vizepräsident ASLOCA FR",,Marly,1'732,
